,Date,Instrument Name,Symbol,Expiry Date,Option Type,Strike Price,Open,High,Low,Close,Previous Close,Volume(Lots),Volume(In 000's),Value(Lacs),Open Interest(Lots),price_increase,price_increase_percentage
0,05 Nov 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,118679.0,119847.0,118679.0,119598.0,118780.0,167,16.700 GRMS ,1993.42,461,919.0,0.77
1,04 Nov 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,119613.0,120114.0,118311.0,118780.0,120130.0,1571,157.100 GRMS ,18813.35,1952,-833.0,-0.7
2,03 Nov 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,120390.0,120829.0,119951.0,120130.0,119728.0,6234,623.400 GRMS ,75068.07,11969,-260.0,-0.22
3,31 Oct 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,119990.0,120995.0,119270.0,119728.0,120251.0,20026,2002.600 GRMS ,240900.51,15361,-262.0,-0.22
4,30 Oct 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,117566.0,120499.0,117376.0,120251.0,119424.0,35582,3558.200 GRMS ,424706.82,19197,2685.0,2.28
5,29 Oct 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,117031.0,120730.0,117031.0,119424.0,118699.0,61325,6132.500 GRMS ,734758.85,21491,2393.0,2.04
6,28 Oct 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,118900.0,119500.0,116606.0,118699.0,120002.0,55062,5506.200 GRMS ,648989.31,21454,-201.0,-0.17
7,27 Oct 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,121759.0,121899.0,119270.0,120002.0,122549.0,69968,6996.800 GRMS ,843746.78,25136,-1757.0,-1.44
8,24 Oct 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,122956.0,123258.0,120672.0,122549.0,123305.0,63689,6368.900 GRMS ,777697.17,26176,-407.0,-0.33
9,23 Oct 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,121360.0,123770.0,121360.0,123305.0,121069.0,53574,5357.400 GRMS ,657733.89,28100,1945.0,1.6
10,22 Oct 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,126100.0,126100.0,119753.0,121069.0,127365.0,69875,6987.500 GRMS ,843340.74,29818,-5031.0,-3.99
11,21 Oct 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,128067.0,128067.0,126091.0,127365.0,129493.0,11229,1122.900 GRMS ,142896.77,32541,-702.0,-0.55
12,20 Oct 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,126573.0,129629.0,125524.0,129493.0,125951.0,93876,9387.600 GRMS ,1197352.76,32566,2920.0,2.31
13,17 Oct 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,129999.0,131698.0,124873.0,125951.0,128735.0,149474,14947.400 GRMS ,1922083.07,34828,-4048.0,-3.11
14,16 Oct 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,127199.0,128989.0,126955.0,128735.0,126641.0,78786,7878.600 GRMS ,1005697.82,36679,1536.0,1.21
15,15 Oct 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,125999.0,127150.0,125765.0,126641.0,125753.0,73228,7322.800 GRMS ,926805.57,35350,642.0,0.51
16,14 Oct 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,124348.0,126472.0,123673.0,125753.0,123964.0,102840,10284.000 GRMS ,1288538.35,32156,1405.0,1.13
17,13 Oct 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,121700.0,124149.0,121700.0,123964.0,120727.0,70600,7060.000 GRMS ,870397.79,35268,2264.0,1.86
18,10 Oct 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,119869.0,121669.0,119300.0,120727.0,119869.0,102118,10211.800 GRMS ,1231430.1,37818,858.0,0.72
19,09 Oct 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,122280.0,123108.0,119500.0,119869.0,122542.0,108115,10811.500 GRMS ,1316326.68,38141,-2411.0,-1.97
20,08 Oct 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,120759.0,122723.0,120759.0,122542.0,120354.0,76521,7652.100 GRMS ,933665.83,39499,1783.0,1.48
21,07 Oct 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,119759.0,120495.0,119160.0,120354.0,119524.0,76339,7633.900 GRMS ,915956.89,39533,595.0,0.5
22,06 Oct 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,117979.0,119793.0,117979.0,119524.0,117370.0,66826,6682.600 GRMS ,796183.65,39097,1545.0,1.31
23,03 Oct 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,116433.0,117620.0,115900.0,117370.0,116968.0,51023,5102.300 GRMS ,597292.5,38720,937.0,0.8
24,01 Oct 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,116999.0,117700.0,116306.0,116968.0,116573.0,61451,6145.100 GRMS ,719990.89,38110,-31.0,-0.03
25,30 Sep 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,115878.0,117242.0,114841.0,116573.0,115734.0,88813,8881.300 GRMS ,1031678.49,38256,695.0,0.6
26,29 Sep 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,114499.0,115948.0,114499.0,115734.0,114317.0,53384,5338.400 GRMS ,616552.94,33655,1235.0,1.08
27,26 Sep 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,113279.0,114477.0,113276.0,114317.0,113382.0,49767,4976.700 GRMS ,566578.86,31349,1038.0,0.92
28,25 Sep 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,113167.0,113900.0,112769.0,113382.0,113150.0,43765,4376.500 GRMS ,495999.73,27912,215.0,0.19
29,24 Sep 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,114040.0,114333.0,113046.0,113150.0,114248.0,27700,2770.000 GRMS ,315252.7,22347,-890.0,-0.78
30,23 Sep 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,112613.0,114539.0,112508.0,114248.0,112612.0,36474,3647.400 GRMS ,415362.01,20677,1635.0,1.45
31,22 Sep 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,110845.0,112655.0,110053.0,112612.0,110319.0,25450,2545.000 GRMS ,284496.83,18140,1767.0,1.59
32,19 Sep 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,109774.0,110400.0,109592.0,110319.0,109575.0,12015,1201.500 GRMS ,132172.59,16401,545.0,0.5
33,18 Sep 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,109889.0,110310.0,109250.0,109575.0,110293.0,16712,1671.200 GRMS ,183400.47,15614,-314.0,-0.29
34,17 Sep 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,110441.0,110500.0,109675.0,110293.0,110640.0,10785,1078.500 GRMS ,118739.04,14746,-148.0,-0.13
35,16 Sep 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,110622.0,111140.0,110402.0,110640.0,110621.0,12393,1239.300 GRMS ,137332.61,14570,18.0,0.02
36,15 Sep 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,109650.0,110750.0,109413.0,110621.0,109833.0,12046,1204.600 GRMS ,132637.46,14040,971.0,0.89
37,12 Sep 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,109687.0,110131.0,109660.0,109833.0,109455.0,8415,841.500 GRMS ,92469.16,13464,146.0,0.13
38,11 Sep 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,109172.0,109680.0,109062.0,109455.0,109441.0,10187,1018.700 GRMS ,111364.46,13626,283.0,0.26
39,10 Sep 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,109713.0,109809.0,109109.0,109441.0,109484.0,8401,840.100 GRMS ,91996.44,13714,-272.0,-0.25
40,09 Sep 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,109035.0,110250.0,109034.0,109484.0,108957.0,18619,1861.900 GRMS ,204113.11,13183,449.0,0.41
41,08 Sep 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,107733.0,109150.0,107454.0,108957.0,108185.0,14425,1442.500 GRMS ,156504.04,12739,1224.0,1.14
42,05 Sep 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,106958.0,108243.0,106958.0,108185.0,106856.0,14583,1458.300 GRMS ,157140.72,12407,1227.0,1.15
43,04 Sep 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,106535.0,107685.0,105629.0,106856.0,107635.0,11165,1116.500 GRMS ,119198.39,11355,321.0,0.3
44,03 Sep 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,106500.0,107690.0,106327.0,107635.0,106260.0,12229,1222.900 GRMS ,130821.52,11624,1135.0,1.07
45,02 Sep 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,105699.0,106350.0,105004.0,106260.0,105250.0,12340,1234.000 GRMS ,130440.47,10504,561.0,0.53
46,01 Sep 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,104398.0,106101.0,104398.0,105250.0,104267.0,9433,943.300 GRMS ,99374.47,8929,852.0,0.82
47,29 Aug 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,102579.0,104499.0,102549.0,104267.0,102548.0,11095,1109.500 GRMS ,114914.17,7262,1688.0,1.65
48,28 Aug 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,102038.0,102599.0,101836.0,102548.0,101998.0,5021,502.100 GRMS ,51337.36,5069,510.0,0.5
49,27 Aug 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,101996.0,102040.0,100508.0,101998.0,101593.0,2544,254.400 GRMS ,25900.24,4196,2.0,0.0
50,26 Aug 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,101238.0,101699.0,101200.0,101593.0,101092.0,3982,398.200 GRMS ,40399.33,4357,355.0,0.35
51,25 Aug 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,100974.0,101200.0,100675.0,101092.0,100865.0,2428,242.800 GRMS ,24524.03,4873,118.0,0.12
52,22 Aug 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,99813.0,100925.0,99726.0,100865.0,99939.0,4491,449.100 GRMS ,45147.14,4636,1052.0,1.05
53,21 Aug 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,99607.0,100077.0,99500.0,99939.0,99838.0,2132,213.200 GRMS ,21283.32,5568,332.0,0.33
54,20 Aug 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,99300.0,99933.0,99051.0,99838.0,99246.0,2196,219.600 GRMS ,21850.43,5348,538.0,0.54
55,19 Aug 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,100019.0,100125.0,99152.0,99246.0,99949.0,3269,326.900 GRMS ,32541.11,4993,-773.0,-0.77
56,18 Aug 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,100476.0,100600.0,99881.0,99949.0,100380.0,1925,192.500 GRMS ,19287.84,3894,-527.0,-0.52
57,14 Aug 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,100897.0,100968.0,100256.0,100380.0,100751.0,2372,237.200 GRMS ,23860.17,3254,-517.0,-0.51
58,13 Aug 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,100743.0,101136.0,100704.0,100751.0,100706.0,1887,188.700 GRMS ,19040.7,2870,8.0,0.01
59,12 Aug 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,100900.0,100945.0,100320.0,100706.0,100914.0,2656,265.600 GRMS ,26740.75,2548,-194.0,-0.19
60,11 Aug 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,102143.0,102143.0,100803.0,100914.0,102450.0,3318,331.800 GRMS ,33588.9,2035,-1229.0,-1.2
61,08 Aug 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,102499.0,102750.0,102150.0,102450.0,101954.0,3063,306.300 GRMS ,31392.0,1439,-49.0,-0.05
62,07 Aug 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,101954.0,102550.0,101524.0,101954.0,101691.0,2027,202.700 GRMS ,20686.55,884,0.0,0.0
63,06 Aug 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,101428.0,101750.0,101190.0,101691.0,101481.0,691,69.100 GRMS ,7015.23,244,263.0,0.26
